feature,importance
person_home_ownership_RENT,0.1738405
loan_percent_income,0.10083973
loan_grade_D,0.07552966
loan_grade_C,0.07354245
loan_grade_A,0.0548664
loan_int_rate,0.052506432
loan_intent_MEDICAL,0.05078437
person_home_ownership_OWN,0.048488554
loan_intent_DEBTCONSOLIDATION,0.047999088
loan_intent_HOMEIMPROVEMENT,0.034223724
person_income,0.032233663
person_home_ownership_MORTGAGE,0.031071479
loan_intent_VENTURE,0.030105388
loan_grade_G,0.025434282
loan_grade_E,0.024598341
loan_grade_F,0.020371877
loan_grade_B,0.01991082
cb_person_default_on_file_N,0.016222248
person_emp_length,0.015550093
loan_intent_EDUCATION,0.014640327
loan_amnt,0.013153628
person_age,0.012627857
cb_person_default_on_file_Y,0.010268686
loan_intent_PERSONAL,0.008873556
person_home_ownership_OTHER,0.0062019997
cb_person_cred_hist_length,0.006114797
